"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","DNA-dependent DNA replication","GO:0006261","1.6725391382505794e-26","25.776623710733602","151","3754","95","17847","GEN1,UPF1,GINS3,SENP2,CDC34,TIPIN,DNAJA3,CHTF8,ORC4,MCMBP,RFC1,MCMDC2,RTEL1,RPAIN,DONSON,SAMHD1,CDC45,ETAA1,ZRANB3,MCM10,SSBP1,POLG2,POLB,E2F8,POLD3,PCNA,GINS4,STOML2,PRIM2,BRCA2,RPA1,RAD51,MCM4,FANCM,CCNE1,THOC1,NUCKS1,FEN1,RFC3,TONSL,WRN,RPA2,MCM2,DBF4,MMS22L,GINS2,MGME1,MCM6,POLE,HELB,MCM5,FBXO5,HMGA1,MCM7,POLE2,POLA2,MCM8,RECQL4,CDC6,ORC6,ORC1,EME1,WDR18,ORC3,DSCC1,RFC2,GINS1,RFC5,POLQ,E2F7,TICRR,LIG1,BLM,DBF4B,TIMELESS,MRE11A,LIG3,CHEK2,POLA1,MCM3,GMNN,PRIM1,CHTF18,CDT1,RPA3,CDC7,RFWD3,DNA2,POLD1,DDX11,ORC2,ATAD5,RFC4,WDHD1,TERF1"
"GO:BP","sister chromatid segregation","GO:0000819","1.8596244514835235e-21","20.730574752081036","185","3754","101","17847","ANAPC15,NSL1,GEN1,DYNC1LI1,BUB3,CDC23,NCAPH2,MAPK15,TPR,ZW10,HIRA,CHTF8,BOD1,SMC4,POGZ,SEH1L,ESCO2,MCMBP,CENPC,NAA50,TEX14,CTCF,RRS1,CENPE,LCMT1,PINX1,PRC1,RAD21,TOP2B,SMC2,SFPQ,PHF13,NCAPG,ZNF207,KIF18A,KPNB1,HNRNPU,PCID2,NEK2,ZWINT,CDCA8,CENPF,NDC80,SGOL1,ESPL1,RACGAP1,TOP2A,KIF4A,SMC3,TRIP13,NUP62,AURKB,KIF14,CENPK,TTN,KIF18B,PHB2,SMC1A,SPAG5,FEN1,STAG2,AURKC,KIF23,TTK,CDC20,KIF2C,RAN,NCAPH,CDCA5,DSN1,NUF2,KIFC1,TUBG1,ESCO1,FBXO5,CCNB1,XRCC3,CDC6,NUSAP1,BUB1B,DSCC1,PLK1,MAD2L1,TACC3,NCAPD2,STAG3,KNSTRN,DLGAP5,INCENP,NCAPD3,CHMP4C,MRE11A,KIF22,RMI2,BUB1,MAD2L2,CDT1,ANAPC1,DDX11,PTTG1,USP44"
"GO:BP","RNA transport","GO:0050658","1.729110848867981e-20","19.76217716432668","195","3754","103","17847","SDAD1,EIF5AL1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,SENP2,EIF4A3,CPSF1,MX2,SRSF4,SMG7,CPSF2,NUP188,LTV1,SHFM1,MAGOHB,DDX39A,SEH1L,ABCE1,KIF5C,RRS1,POLDIP3,AAAS,RBM26,SARNP,CHTOP,EIF5A,AHCTF1,SFPQ,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,NXT2,CETN3,HNRNPU,IGF2BP2,YTHDC1,PCID2,C14ORF166,TOMM20,KHSRP,XPO7,SRSF2,NUP50,POLR2D,SRSF1,IGF2BP1,SRSF3,NUP85,NUP133,NUP62,ARC,G3BP2,HNRNPA2B1,PNPT1,EIF4E,NUP93,CKAP5,THOC1,SSB,NUP88,RAN,NUP153,THOC6,IWS1,KHDRBS1,IGF2BP3,NPM1,NUP43,SRRM1,HNRNPA1,NUP54,RNPS1,XPO5,HNRNPA3,UPF3B,NUP37,XPO1,CPSF6,CPSF3,RBM27,NUP35,LRPPRC,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25"
"GO:BP","nucleic acid transport","GO:0050657","1.729110848867981e-20","19.76217716432668","195","3754","103","17847","SDAD1,EIF5AL1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,SENP2,EIF4A3,CPSF1,MX2,SRSF4,SMG7,CPSF2,NUP188,LTV1,SHFM1,MAGOHB,DDX39A,SEH1L,ABCE1,KIF5C,RRS1,POLDIP3,AAAS,RBM26,SARNP,CHTOP,EIF5A,AHCTF1,SFPQ,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,NXT2,CETN3,HNRNPU,IGF2BP2,YTHDC1,PCID2,C14ORF166,TOMM20,KHSRP,XPO7,SRSF2,NUP50,POLR2D,SRSF1,IGF2BP1,SRSF3,NUP85,NUP133,NUP62,ARC,G3BP2,HNRNPA2B1,PNPT1,EIF4E,NUP93,CKAP5,THOC1,SSB,NUP88,RAN,NUP153,THOC6,IWS1,KHDRBS1,IGF2BP3,NPM1,NUP43,SRRM1,HNRNPA1,NUP54,RNPS1,XPO5,HNRNPA3,UPF3B,NUP37,XPO1,CPSF6,CPSF3,RBM27,NUP35,LRPPRC,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25"
"GO:BP","establishment of RNA localization","GO:0051236","1.8680407059358262e-20","19.728613664417114","198","3754","104","17847","SDAD1,EIF5AL1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,SENP2,EIF4A3,CPSF1,MX2,SRSF4,SMG7,CPSF2,NUP188,LTV1,SHFM1,MAGOHB,DDX39A,SEH1L,ABCE1,KIF5C,RRS1,POLDIP3,AAAS,RBM26,SARNP,CHTOP,EIF5A,AHCTF1,SFPQ,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,NXT2,CETN3,HNRNPU,IGF2BP2,YTHDC1,PCID2,C14ORF166,TOMM20,KHSRP,XPO7,SRSF2,NUP50,POLR2D,SRSF1,IGF2BP1,SRSF3,NUP85,NUP133,NUP62,ARC,G3BP2,HNRNPA2B1,PNPT1,EIF4E,NUP93,CKAP5,THOC1,SSB,NUP88,RAN,NUP153,THOC6,IWS1,KHDRBS1,IGF2BP3,NPM1,NUP43,SRRM1,HNRNPA1,NUP54,RNPS1,XPO5,HNRNPA3,UPF3B,NUP37,XPO1,CPSF6,CPSF3,RBM27,NUP35,LRPPRC,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25,TERF1"
"GO:BP","RNA export from nucleus","GO:0006405","1.4455890515776114e-19","18.839955149640147","139","3754","81","17847","SDAD1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,EIF4A3,CPSF1,SRSF4,SMG7,CPSF2,NUP188,LTV1,SHFM1,MAGOHB,DDX39A,SEH1L,ABCE1,RRS1,POLDIP3,AAAS,RBM26,SARNP,CHTOP,EIF5A,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,YTHDC1,PCID2,SRSF2,NUP50,POLR2D,SRSF1,SRSF3,NUP85,NUP133,NUP62,HNRNPA2B1,EIF4E,NUP93,THOC1,SSB,NUP88,RAN,NUP153,THOC6,IWS1,KHDRBS1,NPM1,NUP43,SRRM1,HNRNPA1,NUP54,RNPS1,XPO5,UPF3B,NUP37,XPO1,CPSF6,CPSF3,RBM27,NUP35,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25"
"GO:BP","mRNA transport","GO:0051028","1.8334291957857372e-19","18.736735857164135","150","3754","85","17847","EIF5AL1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,SENP2,EIF4A3,CPSF1,MX2,SRSF4,SMG7,CPSF2,NUP188,SHFM1,MAGOHB,DDX39A,SEH1L,KIF5C,POLDIP3,AAAS,SARNP,CHTOP,EIF5A,AHCTF1,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,NXT2,CETN3,IGF2BP2,YTHDC1,PCID2,KHSRP,XPO7,SRSF2,NUP50,POLR2D,SRSF1,IGF2BP1,SRSF3,NUP85,NUP133,NUP62,ARC,G3BP2,HNRNPA2B1,EIF4E,NUP93,THOC1,NUP88,NUP153,THOC6,IWS1,IGF2BP3,NUP43,SRRM1,HNRNPA1,NUP54,RNPS1,HNRNPA3,UPF3B,NUP37,XPO1,CPSF3,NUP35,LRPPRC,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25"
"GO:BP","mitotic sister chromatid segregation","GO:0000070","9.665024253547128e-19","18.01479705180941","153","3754","85","17847","ANAPC15,NSL1,GEN1,DYNC1LI1,BUB3,CDC23,NCAPH2,TPR,ZW10,HIRA,CHTF8,BOD1,SMC4,POGZ,SEH1L,CENPC,NAA50,TEX14,RRS1,CENPE,LCMT1,PINX1,PRC1,RAD21,SMC2,PHF13,NCAPG,ZNF207,KIF18A,KPNB1,HNRNPU,PCID2,NEK2,ZWINT,CDCA8,CENPF,NDC80,SGOL1,ESPL1,RACGAP1,KIF4A,TRIP13,NUP62,AURKB,KIF14,CENPK,TTN,KIF18B,SMC1A,SPAG5,AURKC,KIF23,TTK,CDC20,KIF2C,RAN,NCAPH,CDCA5,DSN1,NUF2,KIFC1,TUBG1,FBXO5,CCNB1,XRCC3,CDC6,NUSAP1,BUB1B,DSCC1,PLK1,MAD2L1,TACC3,NCAPD2,KNSTRN,DLGAP5,INCENP,NCAPD3,CHMP4C,KIF22,BUB1,MAD2L2,CDT1,ANAPC1,PTTG1,USP44"
"GO:BP","telomere maintenance","GO:0000723","2.5161164256930884e-18","17.599269267095522","163","3754","88","17847","PKIB,SMG5,EXOSC10,PARN,MAPK15,YLPM1,CCT2,UPF1,SMG1,HSP90AA1,USP7,POT1,TCP1,SMG7,MAP2K7,DCLRE1A,RAD50,MYC,CTC1,RFC1,RTEL1,PINX1,ACD,DHX36,TELO2,EXO1,XRCC1,HNRNPU,NHP2,PRKDC,NEK2,PRKCQ,HIST1H4J,POLD3,CCT6A,PCNA,PRIM2,CCT3,XRCC6,BRCA2,RPA1,RAD51,SMC6,MAPKAPK5,HNRNPA2B1,AURKB,TERT,CCNE1,FEN1,NAF1,CCT5,PIF1,WRAP53,XRCC5,RFC3,GNL3,WRN,NAT10,SLX1B,RPA2,CCT7,POLE,HNRNPD,HNRNPC,POLE2,POLA2,RECQL4,XRCC3,HNRNPA1,RFC2,CCT8,DKC1,RFC5,HSP90AB1,CCT4,PTGES3,BLM,MRE11A,RIF1,POLA1,DCP2,PRIM1,RPA3,PARP1,DNA2,POLD1,RFC4,TERF1"
"GO:BP","ribonucleoprotein complex export from nucleus","GO:0071426","4.6291424082060754e-18","17.33449945863245","129","3754","75","17847","SDAD1,SMG5,DDX19B,NUP160,NUP98,RANBP2,TPR,SYMPK,UPF1,SMG1,POM121,RAE1,EIF4A3,CPSF1,SRSF4,SMG7,CPSF2,NUP188,LTV1,SHFM1,MAGOHB,DDX39A,SEH1L,ABCE1,RRS1,POLDIP3,AAAS,SARNP,CHTOP,EIF5A,UPF2,MAGOH,DDX39B,CASC3,CDC40,PABPN1,WDR33,YTHDC1,PCID2,SRSF2,NUP50,POLR2D,SRSF1,SRSF3,NUP85,NUP133,NUP62,HNRNPA2B1,EIF4E,NUP93,THOC1,SSB,NUP88,RAN,NUP153,THOC6,IWS1,NPM1,NUP43,SRRM1,NUP54,RNPS1,UPF3B,NUP37,XPO1,CPSF3,NUP35,THOC3,NUP107,SRSF7,NUP210,NUP155,NUP205,NDC1,DDX25"
