"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","DNA biosynthetic process","GO:0071897","2.4952704678938627e-11","10.602882373348173","193","7680","133","17847","LOX,DUSP1,FAM129B,NOX4,BMPR2,TERF2IP,REV3L,TINF2,PARP3,TREX1,SPHK1,POLK,POLH,TK2,CDKN1A,RGCC,PARP10,LIG4,CDKN2D,ANKRD1,SMG6,PTK2B,NEK7,MAPK3,TNKS1BP1,GREM1,POLD4,FBXO4,XRN1,MAPK1,PARP4,POLN,PAK3,UBC,ZBTB1,ERCC4,PDGFRB,NPLOC4,SRC,TEN1,PPARG,PKIB,RGN,TYMS,MEN1,SMG5,EXOSC10,PARN,RCHY1,MAPK15,NVL,CCT2,HSP90AA1,USP43,PPIA,POT1,TCP1,SMG7,CHTF8,MAP2K7,RAD50,MYC,CTC1,RFC1,TP53,PINX1,RPS27A,ACD,TELO2,DDX39B,HNRNPU,NHP2,NEK2,PRKCQ,POLG2,POLB,POLD3,CENPF,CCT6A,PCNA,CCT3,RPA1,DTL,MAPKAPK5,HNRNPA2B1,AURKB,PARM1,PHB,LIN9,TERT,DNAJC2,NAF1,CCT5,PIF1,WRAP53,XRCC5,RFC3,WRN,NAT10,RPA2,CCT7,POLE,USP10,HNRNPD,PRKD2,HNRNPC,POLE2,POLA2,HNRNPA1,DSCC1,RFC2,CCT8,DKC1,RFC5,FGFR4,HSP90AB1,POLQ,GRHL2,LIG1,CCT4,PTGES3,MRE11A,LIG3,POLA1,DCP2,CHTF18,MAD2L2,ARRB2,RPA3,POLD1,RFC4,SIRT1,TERF1"
"GO:BP","DNA-dependent DNA replication","GO:0006261","2.9540847638721466e-10","9.529577047292928","151","7680","107","17847","REV3L,PURA,ZNF365,WIZ,ATG7,POLD4,BCL6,POLN,CIZ1,ZMPSTE24,BAZ1A,CDK2AP1,GEN1,UPF1,GINS3,SENP2,CDC34,TIPIN,DNAJA3,CHTF8,ORC4,MCMBP,RFC1,MCMDC2,RTEL1,RPAIN,DONSON,SAMHD1,CDC45,ETAA1,ZRANB3,MCM10,SSBP1,POLG2,POLB,E2F8,POLD3,PCNA,GINS4,STOML2,PRIM2,BRCA2,RPA1,RAD51,MCM4,FANCM,CCNE1,THOC1,NUCKS1,FEN1,RFC3,TONSL,WRN,RPA2,MCM2,DBF4,MMS22L,GINS2,MGME1,MCM6,POLE,HELB,MCM5,FBXO5,HMGA1,MCM7,POLE2,POLA2,MCM8,RECQL4,CDC6,ORC6,ORC1,EME1,WDR18,ORC3,DSCC1,RFC2,GINS1,RFC5,POLQ,E2F7,TICRR,LIG1,BLM,DBF4B,TIMELESS,MRE11A,LIG3,CHEK2,POLA1,MCM3,GMNN,PRIM1,CHTF18,CDT1,RPA3,CDC7,RFWD3,DNA2,POLD1,DDX11,ORC2,ATAD5,RFC4,WDHD1,TERF1"
"GO:BP","regulation of DNA biosynthetic process","GO:2000278","5.641406295297783e-10","9.248612621166","109","7680","82","17847","DUSP1,FAM129B,NOX4,BMPR2,TINF2,PARP3,CDKN1A,RGCC,ANKRD1,SMG6,PTK2B,NEK7,MAPK3,GREM1,FBXO4,XRN1,MAPK1,PARP4,PAK3,ERCC4,PDGFRB,SRC,TEN1,PPARG,PKIB,RGN,MEN1,SMG5,EXOSC10,PARN,MAPK15,NVL,CCT2,HSP90AA1,POT1,TCP1,SMG7,CHTF8,MAP2K7,MYC,CTC1,TP53,PINX1,ACD,DDX39B,HNRNPU,NEK2,PRKCQ,CCT6A,CCT3,MAPKAPK5,HNRNPA2B1,AURKB,PARM1,DNAJC2,NAF1,CCT5,PIF1,WRAP53,XRCC5,RFC3,NAT10,CCT7,HNRNPD,PRKD2,HNRNPC,HNRNPA1,DSCC1,RFC2,CCT8,DKC1,RFC5,FGFR4,HSP90AB1,GRHL2,CCT4,PTGES3,DCP2,CHTF18,ARRB2,RFC4,TERF1"
"GO:BP","positive regulation of DNA metabolic process","GO:0051054","7.1183394315618185e-9","8.147621306899806","191","7680","126","17847","NOX4,NPAS2,EYA4,TNFSF4,SPIRE1,FAM168A,PARP9,CLCF1,PARP3,AKT1,EGFR,PML,UBE2B,CBX8,FMN2,RGCC,MECP2,DTX3L,PTK2B,NEK7,MAPK3,EXOSC6,GREM1,FBXO4,ACTR2,MAPK1,PAK3,TP53BP1,CIZ1,ERCC1,APBB1,PDGFRB,NUDT16,SRC,SMCHD1,BAX,BABAM1,PKIB,PARN,MAPK15,NVL,CCT2,HSP90AA1,EYA2,USP7,POT1,H2AFX,TCP1,CHTF8,UBE2N,MAP2K7,RPS3,RAD50,MYC,RNF8,FOXM1,RTEL1,MMS19,OTUD4,ACD,DHX36,PRKCD,ANXA3,DDX39B,FANCB,PAXIP1,EYA3,XRCC1,USP9X,PRKDC,NEK2,PRKCQ,BRCA1,TFRC,CCT6A,PCNA,NPM2,HMGB1,CCT3,RAD51,FUS,MAPKAPK5,HNRNPA2B1,AURKB,PARM1,EXOSC3,UIMC1,NAF1,CCT5,WRAP53,XRCC5,RFC3,GNL3,WRN,SLX1B,CCT7,HNRNPD,PRKD2,PRKCG,RNF168,HNRNPA1,TRIM28,DSCC1,RFC2,CCT8,DKC1,RFC5,FGFR4,HSP90AB1,GRHL2,CD40,CCT4,PTGES3,TIMELESS,ERCC2,MRE11A,RIF1,MSH2,CHTF18,MAD2L2,ARRB2,PARP1,DDX11,ATAD5,RFC4,SIRT1"
"GO:BP","telomere maintenance","GO:0000723","1.3378312474378813e-8","7.873598664541734","163","7680","110","17847","SP100,TERF2IP,TINF2,PARP3,PML,ZNF365,SMG6,NEK7,MAPK3,TNKS1BP1,POLD4,FBXO4,XRN1,MAPK1,ERCC1,ERCC4,HDAC8,SRC,HIST1H4H,TFIP11,DCLRE1C,TEN1,PKIB,SMG5,EXOSC10,PARN,MAPK15,YLPM1,CCT2,UPF1,SMG1,HSP90AA1,USP7,POT1,TCP1,SMG7,MAP2K7,DCLRE1A,RAD50,MYC,CTC1,RFC1,RTEL1,PINX1,ACD,DHX36,TELO2,EXO1,XRCC1,HNRNPU,NHP2,PRKDC,NEK2,PRKCQ,HIST1H4J,POLD3,CCT6A,PCNA,PRIM2,CCT3,XRCC6,BRCA2,RPA1,RAD51,SMC6,MAPKAPK5,HNRNPA2B1,AURKB,TERT,CCNE1,FEN1,NAF1,CCT5,PIF1,WRAP53,XRCC5,RFC3,GNL3,WRN,NAT10,SLX1B,RPA2,CCT7,POLE,HNRNPD,HNRNPC,POLE2,POLA2,RECQL4,XRCC3,HNRNPA1,RFC2,CCT8,DKC1,RFC5,HSP90AB1,CCT4,PTGES3,BLM,MRE11A,RIF1,POLA1,DCP2,PRIM1,RPA3,PARP1,DNA2,POLD1,RFC4,TERF1"
"GO:BP","positive regulation of DNA biosynthetic process","GO:2000573","1.867687388725504e-8","7.728695813712447","67","7680","54","17847","NOX4,RGCC,PTK2B,NEK7,MAPK3,GREM1,FBXO4,MAPK1,PAK3,PDGFRB,SRC,PKIB,PARN,MAPK15,NVL,CCT2,HSP90AA1,POT1,TCP1,CHTF8,MAP2K7,MYC,ACD,DDX39B,NEK2,PRKCQ,CCT6A,CCT3,MAPKAPK5,HNRNPA2B1,AURKB,PARM1,NAF1,CCT5,WRAP53,XRCC5,RFC3,CCT7,HNRNPD,PRKD2,HNRNPA1,DSCC1,RFC2,CCT8,DKC1,RFC5,FGFR4,HSP90AB1,GRHL2,CCT4,PTGES3,CHTF18,ARRB2,RFC4"
"GO:BP","mitotic cell cycle checkpoint","GO:0007093","2.7244895000003398e-8","7.564714861498429","168","7680","112","17847","CDKN2B,DUSP1,GADD45A,NABP1,PLAGL1,PLK3,PCBP4,MUC1,PML,TAOK3,KLHL22,CDKN1A,PLK2,RGCC,MUS81,NEK11,RPS27L,CRADD,RBL2,TNKS1BP1,MDM2,TAOK2,RB1,FBXO31,CCND1,DLG1,BTG2,APC,WNT9A,CDK5RAP2,ATF2,HRAS,ZFYVE19,RAD17,ANAPC15,BAX,HMGA2,GEN1,DYNC1LI1,CNOT8,E2F4,BUB3,TPR,ZW10,CNOT7,TIPIN,RPL24,WEE1,CNOT10,FOXO4,EP300,TEX14,FOXN3,TP53,LCMT1,DONSON,ARID3A,RQCD1,SFN,TOP2B,E2F1,MDC1,ZNF207,PCID2,PRKDC,SOX4,CDC25C,CNOT3,BRCA1,CLSPN,ZWINT,E2F8,CENPF,TOPBP1,NDC80,PCNA,GTSE1,TOP2A,TRIP13,AURKB,AURKA,TTK,CDC20,NAE1,RPA2,CDK1,CCNB1,ZWILCH,XRCC3,CDC6,BUB1B,ORC1,EME1,CARM1,PLK1,MAD2L1,PRMT1,E2F7,TICRR,BLM,CHMP4C,CNOT1,MRE11A,CHEK2,MSH2,BUB1,MAD2L2,CDT1,CHEK1,KNTC1,RFWD3,USP44"
"GO:BP","telomere maintenance via telomerase","GO:0007004","2.752675767403213e-8","7.5602449403394445","69","7680","55","17847","TERF2IP,TINF2,SMG6,NEK7,MAPK3,TNKS1BP1,FBXO4,XRN1,MAPK1,SRC,TEN1,PKIB,SMG5,EXOSC10,PARN,MAPK15,CCT2,HSP90AA1,POT1,TCP1,SMG7,MAP2K7,RAD50,CTC1,RFC1,PINX1,ACD,TELO2,HNRNPU,NHP2,NEK2,PRKCQ,CCT6A,CCT3,RPA1,MAPKAPK5,AURKB,TERT,NAF1,CCT5,PIF1,WRAP53,XRCC5,NAT10,CCT7,HNRNPC,HNRNPA1,CCT8,DKC1,HSP90AB1,CCT4,PTGES3,MRE11A,DCP2,TERF1"
"GO:BP","RNA-dependent DNA biosynthetic process","GO:0006278","3.924803307727424e-8","7.406182103124857","71","7680","56","17847","TERF2IP,TINF2,SMG6,NEK7,MAPK3,TNKS1BP1,FBXO4,XRN1,MAPK1,SRC,TEN1,PKIB,SMG5,EXOSC10,PARN,MAPK15,CCT2,HSP90AA1,PPIA,POT1,TCP1,SMG7,MAP2K7,RAD50,CTC1,RFC1,PINX1,ACD,TELO2,HNRNPU,NHP2,NEK2,PRKCQ,CCT6A,CCT3,RPA1,MAPKAPK5,AURKB,TERT,NAF1,CCT5,PIF1,WRAP53,XRCC5,NAT10,CCT7,HNRNPC,HNRNPA1,CCT8,DKC1,HSP90AB1,CCT4,PTGES3,MRE11A,DCP2,TERF1"
"GO:BP","regulation of telomerase activity","GO:0051972","4.155938862858028e-8","7.381330849882592","49","7680","42","17847","PARP3,SMG6,NEK7,MAPK3,GREM1,MAPK1,PARP4,ERCC4,SRC,TEN1,PPARG,PKIB,MEN1,PARN,MAPK15,NVL,CCT2,HSP90AA1,POT1,TCP1,MAP2K7,MYC,TP53,PINX1,ACD,NEK2,PRKCQ,MAPKAPK5,HNRNPA2B1,AURKB,PARM1,NAF1,PIF1,WRAP53,XRCC5,HNRNPD,DKC1,HSP90AB1,GRHL2,CCT4,PTGES3,TERF1"
