"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell-substrate junction assembly","GO:0007044","7.973146477267182e-13","12.098370257268174","98","3927","57","17847","CD151,MMP14,TNS1,KRT14,TLN1,LIMCH1,ITGB1BP1,EPHA3,PTEN,DUSP3,ARHGAP6,ITGA5,LIMS1,THBS1,CORO2B,ACTN1,LRP1,LAMC1,SMAD3,BCL2,PEAK1,NRP1,PHLDB2,PLEC,ITGB4,FERMT2,FMN1,DST,FN1,APOD,PTK2B,FAM107A,DLC1,CORO1C,DAPK3,GREM1,WHAMM,ITGA2,TAOK2,LAMB3,VEGFA,CTTN,GPM6B,AJUBA,S100A10,COL16A1,PPM1F,ROCK2,MAP4K4,ABL1,SRC,RHOA,PDPK1,SLC9A1,DMTN,CLASP1,SLK"
"GO:BP","regulation of ossification","GO:0030278","8.193130534238399e-12","11.086550125837805","200","3927","91","17847","IL6ST,ECM1,PDLIM7,SOX9,LTBP3,KREMEN1,COMP,DKK1,TWSG1,HOXA2,CSF1,TGFB1,IGFBP5,ACVR2A,BMPR2,FAM20C,CHRD,MEF2C,HAND2,TGFB2,TGFB3,NOG,PTN,ATP6AP1,OSR2,BMPR1B,OMD,RUNX2,PRKACA,OSR1,MIR29B1,ACVR1,RANBP3L,ID2,FBN2,WISP1,NBR1,SMAD3,BCL2,TOB1,GLI3,EGR2,PRKD1,SNAI2,CEBPD,MGP,ZHX3,BMP6,ANKH,ID3,SLC8A1,ANO6,PTGER4,WNT5A,CYR61,GDF10,CDK6,P2RX7,PTK2B,MAPK3,CEBPB,MSX2,TMEM119,DDR2,GREM1,ILK,MAPK1,TRPM4,TPH1,IGF1,BMP2,ATP2B1,S1PR1,GPM6B,NELL1,SIX2,TFAP2A,ZMPSTE24,JAG1,GNAS,RASSF2,SMOC1,JUND,DDX5,SUFU,KL,CITED1,SUCO,CLIC1,CTHRC1,HIF1A"
"GO:BP","vacuolar transport","GO:0007034","8.675919220340435e-12","11.06168450026362","141","3927","71","17847","NDFIP1,CHMP3,LAMP2,CLU,UBXN6,RHOB,HGSNAT,TRAK2,LEPROT,LAMP1,CACNG4,PSAP,SCARB2,ARSB,HOOK3,GRN,LYST,VPS28,SNAPIN,AKTIP,LRP1,NDFIP2,VPS11,PCDHGA3,VPS41,ATP6V0D1,RAB7A,VPS37B,TMEM50B,IGF2R,DTX3L,PINK1,BECN1,CHMP6,VPS53,NEDD4,VPS35,GPRASP1,LRRK2,VPS16,USE1,VTI1A,VPS39,CHMP5,VPS13C,HGS,TRAK1,TMEM50A,CLEC16A,TGFBRAP1,RAB12,ZFYVE16,SPTBN5,GOSR2,KIF13A,CHMP7,EPG5,NPC1,ANKFY1,VPS37C,VAMP7,VPS18,SCYL2,SORT1,CHMP1A,MGRN1,FAM160A2,CHMP4A,MON1A,NCOA4,AP4M1"
"GO:BP","establishment of vesicle localization","GO:0051650","1.2013078004048872e-11","10.920345702929652","192","3927","88","17847","KIFAP3,CD59,TRAK2,BBS5,SYBU,TBC1D20,MAP2,FAM91A1,RAB27A,SNAP29,ITGA4,BLOC1S6,SNAPIN,NLGN1,SEPT5,SAR1B,PICALM,MCFD2,SYNJ1,DNM3,ZNF547,NAPA,SEC31A,TFG,PEF1,BLOC1S3,TOR1A,MYO1C,TMED10,RAB27B,GBF1,TRIP11,DYNC1I1,RAB1A,TRAPPC1,TRAPPC3,SEC23A,KLHL21,PINK1,ARFGAP3,SNAP91,KIF5B,CNIH3,YKT6,LRRK2,GRIA1,STARD3,CEP19,SEC24B,PAFAH1B1,NDEL1,GORASP1,NSF,PSEN1,STX5,TRAK1,WIPI1,FYCO1,TMEM230,TMED9,CSNK1D,GOSR2,KIF13A,GOLGA2,DCTN2,FOLR1,RAB1B,PDCD6,LIN7A,DTNBP1,VAMP7,CLN3,TMED2,AP3M2,SEC24D,AP3S1,RAB11B,BLOC1S1,KIF3B,F8,BBS2,CNIH1,RASGRP1,TRAPPC6B,CLASP1,SEC16A,SAR1A,TRAPPC9"
"GO:BP","adherens junction organization","GO:0034332","6.775536140885836e-10","9.169056333838695","143","3927","68","17847","MMP14,ZNF703,CDH10,CDH2,LIMCH1,ITGB1BP1,EPHA3,PTEN,CDH8,DUSP3,ARHGAP6,PVR,LIMS1,THBS1,CORO2B,ACTN1,LRP1,SMAD3,BCL2,KIFC3,PEAK1,NRP1,PHLDB2,BMP6,CADM3,CDH6,JAM3,FERMT2,FMN1,APOD,PTK2B,CADM1,FAM107A,CDH13,DLC1,PIP5K1C,CORO1C,NUMBL,DAPK3,GREM1,WHAMM,ITGA2,TAOK2,ADD1,CDH11,VEGFA,CTTN,GPM6B,CDC42,AJUBA,S100A10,IQSEC1,PLEKHA7,CDH4,COL16A1,PPM1F,RDX,ROCK2,MAP4K4,ABL1,SRC,RHOA,PDPK1,SLC9A1,RASSF8,DMTN,CLASP1,SLK"
"GO:BP","cell-substrate adherens junction assembly","GO:0007045","1.1179477486130917e-9","8.951578494320174","82","3927","46","17847","MMP14,LIMCH1,ITGB1BP1,EPHA3,PTEN,DUSP3,ARHGAP6,LIMS1,THBS1,CORO2B,ACTN1,LRP1,SMAD3,BCL2,PEAK1,NRP1,PHLDB2,FERMT2,FMN1,APOD,PTK2B,FAM107A,DLC1,CORO1C,DAPK3,GREM1,WHAMM,ITGA2,TAOK2,VEGFA,CTTN,GPM6B,AJUBA,S100A10,COL16A1,PPM1F,ROCK2,MAP4K4,ABL1,SRC,RHOA,PDPK1,SLC9A1,DMTN,CLASP1,SLK"
"GO:BP","focal adhesion assembly","GO:0048041","1.1179477486130917e-9","8.951578494320174","82","3927","46","17847","MMP14,LIMCH1,ITGB1BP1,EPHA3,PTEN,DUSP3,ARHGAP6,LIMS1,THBS1,CORO2B,ACTN1,LRP1,SMAD3,BCL2,PEAK1,NRP1,PHLDB2,FERMT2,FMN1,APOD,PTK2B,FAM107A,DLC1,CORO1C,DAPK3,GREM1,WHAMM,ITGA2,TAOK2,VEGFA,CTTN,GPM6B,AJUBA,S100A10,COL16A1,PPM1F,ROCK2,MAP4K4,ABL1,SRC,RHOA,PDPK1,SLC9A1,DMTN,CLASP1,SLK"
"GO:BP","vacuole organization","GO:0007033","1.914775102441031e-9","8.71788222822517","164","3927","74","17847","NUPR1,ANXA2,BAG3,GABARAP,GBA,MAP1LC3B,TMEM175,TPP1,TP53INP1,TMEM173,CLN5,STX12,NDP,TBC1D12,ACP2,WDR45,SCARB2,ARSB,RALB,TP53INP2,MBTPS1,HOOK3,GRN,LYST,SH3GLB1,GABARAPL2,ULK2,RAB23,HPS1,ABCA1,TREX1,NAGLU,SNAPIN,HEXB,MAP1LC3A,AKTIP,VPS11,ATG9A,VPS41,PACS2,RAB14,RAB7A,RAB1A,P2RX7,VMP1,PINK1,ATG7,BECN1,VPS35,IFT88,TMEM165,FEZ1,LRRK2,FEZ2,VPS16,RAB3GAP1,CHMP5,SRPX,PSEN1,WIPI1,IFT20,RAB1B,PIK3C3,GAA,CLN3,ATG12,VPS18,SYNPO2,TFEB,ATG2B,MTMR3,CCDC115,FAM160A2,CHMP4A"
"GO:BP","proteoglycan metabolic process","GO:0006029","2.6267263992240547e-9","8.58058516112918","89","3927","48","17847","CHPF2,HEXA,COL11A1,SLC35D1,CSGALNACT2,CHSY3,B3GALT6,BMPR2,HS3ST3B1,ARSB,EXT2,CHST3,PPARD,BMPR1B,ADAMTS12,IMPAD1,CHST14,GPC1,CANT1,HEXB,CHPF,B4GALT7,B3GAT3,IDUA,DCN,GAL3ST4,IDS,GLCE,NCAN,HS2ST1,NDST1,SPOCK2,BGN,SULF2,VCAN,EXT1,IGF1,BMP2,NDST2,FAM20B,NDNF,CHST11,CHST10,CSGALNACT1,CSPG4,SGSH,DSEL,HS6ST2"
"GO:BP","lysosomal transport","GO:0007041","2.799612961784016e-9","8.55290200443629","103","3927","53","17847","CHMP3,LAMP2,CLU,UBXN6,RHOB,HGSNAT,TRAK2,LAMP1,CACNG4,PSAP,SCARB2,ARSB,HOOK3,GRN,LYST,SNAPIN,AKTIP,LRP1,VPS11,PCDHGA3,VPS41,RAB7A,IGF2R,DTX3L,PINK1,VPS53,NEDD4,VPS35,GPRASP1,LRRK2,VPS16,USE1,VPS39,CHMP5,HGS,TRAK1,CLEC16A,TGFBRAP1,RAB12,ZFYVE16,SPTBN5,KIF13A,EPG5,NPC1,ANKFY1,VAMP7,VPS18,SCYL2,SORT1,MGRN1,FAM160A2,NCOA4,AP4M1"
